frame_idx	timestamp_ns	ev_a	ev_b	range_a_m	range_b_m	scale_ratio	precision_pct	recall_pct	f1_pct	fp_count	fn_count
74	1784131467177745000	889	328	19.227	23.22	1.207	13.3	20.4	16.1	770	261
75	1784131467472706000	889	306	19.485	21.229	1.089	23.1	33.3	27.3	683	204
76	1784131467772539000	889	310	19.651	23.477	1.194	12.5	18.3	14.9	777	253
77	1784131468061422000	889	280	20.668	22.072	1.067	19.0	22.1	20.4	720	218
78	1784131468382727000	889	250	21.182	23.668	1.117	2.9	8.4	4.3	863	229
79	1784131468684092000	889	259	20.376	22.609	1.109	21.1	24.7	22.7	701	195
80	1784131468968579000	889	228	22.84	25.955	1.136	2.8	6.1	3.8	864	214
81	1784131469267990000	889	234	22.117	24.953	1.128	6.2	14.5	8.7	833	200
82	1784131469565673000	889	219	23.636	27.105	1.146	1.2	3.1	1.7	878	212
83	1784131469870569000	889	268	22.049	27.824	1.261	6.2	13.4	8.5	833	232
84	1784131470148983000	889	208	22.686	25.907	1.141	4.4	10.5	6.3	849	186
85	1784131470514023000	889	269	21.475	28.882	1.344	2.9	4.8	3.6	863	256
86	1784131470872224000	889	209	23.188	27.967	1.206	2.8	6.6	3.9	864	195
87	1784131471242781000	889	508	17.426	19.917	1.142	0.5	0.5	0.5	884	505
88	1784131471566327000	889	455	17.137	19.07	1.112	0.0	0.0	0.0	889	455
89	1784131471898515000	889	607	17.093	19.356	1.132	6.0	4.4	5.1	835	580
90	1784131472208860000	889	568	17.34	23.295	1.343	0.0	0.0	0.0	889	568
91	1784131472504847000	889	596	17.151	17.626	1.027	20.4	12.9	15.8	707	519
92	1784131472808948000	889	584	18.102	24.752	1.367	3.0	3.2	3.1	862	565
93	1784131473196009000	889	560	16.813	18.267	1.086	39.4	16.9	23.7	538	465
94	1784131473476835000	889	564	17.512	25.81	1.473	4.6	6.9	5.5	848	525
95	1784131473764167000	889	574	17.851	21.556	1.207	11.1	13.0	12.0	790	499
96	1784131474061220000	889	576	17.949	23.252	1.295	10.1	15.1	12.1	799	489
97	1784131474347511000	889	581	17.809	21.545	1.209	27.8	23.2	25.3	641	446
98	1784131474644078000	889	561	18.592	21.856	1.175	23.9	22.6	23.2	676	434
99	1784131474915983000	889	577	19.083	22.697	1.189	19.3	21.8	20.5	717	451
100	1784131475205235000	889	580	18.819	21.335	1.133	42.1	21.0	28.0	514	458
101	1784131475508015000	889	589	20.104	25.41	1.263	21.8	17.3	19.3	695	487
102	1784131475806467000	889	592	19.979	24.681	1.235	30.3	19.7	23.9	619	475
103	1784131476087516000	889	601	20.692	29.836	1.441	8.8	8.8	8.8	810	548
104	1784131476396146000	889	616	20.944	27.095	1.293	34.3	10.8	16.5	584	549
105	1784131476697540000	889	613	22.264	30.76	1.381	2.0	1.3	1.5	871	605
106	1784131477017410000	886	626	21.992	25.528	1.16	38.2	8.1	13.4	547	575
107	1784131477335074000	889	643	23.177	32.112	1.385	0.0	0.0	0.0	889	643
108	1784131477654015000	889	667	23.263	29.046	1.248	10.2	3.5	5.3	798	643
109	1784131477948585000	889	679	24.169	32.736	1.354	0.3	0.4	0.3	886	676
110	1784131478255244000	889	694	24.314	28.163	1.158	55.6	27.9	37.2	394	500
111	1784131478584463000	889	700	25.222	32.805	1.3	2.2	1.7	1.9	869	688
112	1784131478923448000	889	701	25.351	29.515	1.164	39.2	17.9	24.6	540	575
113	1784131479225721000	889	707	26.621	33.281	1.25	1.5	1.9	1.7	875	693
114	1784131479580575000	889	715	26.892	30.326	1.127	38.4	19.3	25.7	547	577
115	1784131479871613000	889	736	27.887	33.737	1.209	5.0	2.9	3.7	844	714
116	1784131480216963000	889	741	28.821	31.987	1.109	26.0	14.7	18.8	657	632
117	1784131480531789000	889	767	29.819	34.462	1.155	9.2	8.4	8.8	807	702
118	1784131480846595000	889	770	30.334	33.244	1.095	30.2	17.4	22.0	620	636
119	1784131481143126000	889	783	30.556	34.477	1.128	19.1	19.5	19.3	719	630
120	1784131481469046000	889	794	31.475	33.855	1.075	38.2	22.5	28.3	549	615
121	1784131481844415000	889	802	32.073	35.23	1.098	10.7	10.3	10.5	793	719
122	1784131482214756000	889	814	31.877	34.679	1.087	32.7	23.3	27.2	598	624
123	1784131482500195000	889	826	32.545	35.138	1.079	31.4	35.2	33.2	609	535
124	1784131482817532000	889	834	32.698	34.888	1.066	57.3	31.2	40.4	379	573
125	1784131483103489000	889	839	33.093	34.852	1.053	40.6	36.7	38.5	528	531
126	1784131483414944000	889	847	33.341	35.393	1.061	36.8	15.5	21.9	561	715
127	1784131483708275000	889	858	33.811	35.597	1.052	11.8	6.9	8.7	784	798
128	1784131484004828000	889	865	34.142	35.618	1.043	19.2	10.6	13.6	718	773
129	1784131484321496000	889	868	34.448	35.947	1.043	1.3	3.8	1.9	877	835
130	1784131484614212000	889	870	34.6	35.877	1.036	27.4	15.7	20.0	645	733
131	1784131484897607000	889	871	34.981	36.12	1.032	0.3	1.1	0.5	886	861
132	1784131485187486000	889	872	35.379	35.988	1.017	55.1	24.5	33.9	399	658
133	1784131485489077000	889	874	35.625	36.279	1.018	15.6	4.8	7.3	750	832
134	1784131485776041000	889	874	35.758	36.21	1.012	18.7	4.1	6.7	722	838
135	1784131486062711000	889	876	35.863	36.361	1.013	23.5	8.2	12.1	680	804
136	1784131486335538000	889	876	35.988	36.203	1.005	7.1	4.3	5.4	825	838
137	1784131486606289000	889	875	36.099	36.437	1.009	24.6	16.6	19.8	670	729
138	1784131486890704000	889	873	36.279	36.341	1.001	13.1	4.6	6.9	772	832
139	1784131487179833000	889	872	36.203	36.792	1.016	29.6	16.3	21.1	625	729
