frame_idx	timestamp_ns	ev_a	ev_b	range_a_m	range_b_m	scale_ratio	precision_pct	recall_pct	f1_pct	fp_count	fn_count
324	1784131543558169000	885	874	43.482	43.568	1.001	54.6	46.7	50.4	401	465
325	1784131543833245000	884	872	44.471	42.127	0.947	0.6	0.2	0.3	878	870
326	1784131544129896000	888	871	43.945	43.876	0.998	52.2	41.9	46.5	424	506
327	1784131544411978000	883	871	44.796	41.769	0.932	0.0	0.0	0.0	883	871
328	1784131544758968000	882	872	44.594	43.355	0.972	69.5	32.2	44.0	269	591
329	1784131545037085000	881	872	44.656	41.457	0.928	0.0	0.0	0.0	881	872
330	1784131545342353000	883	872	44.516	43.493	0.977	79.5	40.4	53.6	181	519
331	1784131545661865000	889	872	44.166	41.184	0.932	0.5	1.6	0.8	884	858
332	1784131545948285000	889	872	43.888	42.891	0.977	33.7	25.4	29.0	589	650
333	1784131546232131000	887	872	43.996	40.929	0.93	1.1	0.4	0.6	877	868
334	1784131546519052000	885	873	43.556	41.727	0.958	29.6	16.8	21.4	623	726
335	1784131546797357000	887	872	43.482	41.105	0.945	29.5	6.7	11.0	625	813
336	1784131547110490000	889	872	43.176	41.481	0.96	31.0	15.3	20.5	613	738
337	1784131547403395000	883	872	43.274	40.604	0.938	31.9	7.1	11.6	601	810
338	1784131547749428000	887	871	42.587	41.117	0.965	51.8	29.7	37.7	427	612
339	1784131548109764000	889	871	42.634	40.226	0.943	4.0	2.1	2.8	853	852
340	1784131548403923000	889	871	42.204	41.117	0.974	33.1	20.7	25.5	594	690
341	1784131548766961000	889	871	41.9	39.612	0.945	4.7	3.4	3.9	847	841
342	1784131549064028000	889	872	41.966	40.443	0.963	49.8	25.9	34.0	446	646
343	1784131549384106000	889	872	42.18	39.669	0.94	23.0	7.4	11.2	684	807
344	1784131549679044000	889	872	42.61	39.826	0.934	29.2	12.9	17.9	629	759
345	1784131549967725000	889	872	42.786	39.047	0.912	0.0	0.0	0.0	889	872
346	1784131550271743000	889	872	42.304	40.567	0.958	64.5	32.6	43.3	315	587
347	1784131550631801000	889	872	42.127	39.162	0.929	11.5	3.6	5.5	786	840
348	1784131551000444000	889	872	41.727	40.812	0.978	37.5	21.4	27.3	555	685
349	1784131551355419000	889	872	41.396	39.946	0.964	45.8	23.2	30.8	481	669
350	1784131551646522000	889	872	41.233	39.895	0.967	53.6	24.8	34.0	412	655
351	1784131551937883000	889	872	40.971	39.162	0.955	29.5	11.5	16.6	626	771
352	1784131552240089000	889	872	41.105	39.149	0.952	54.5	15.9	24.6	404	733
353	1784131552539888000	889	872	40.702	38.022	0.934	30.2	8.2	12.9	620	800
354	1784131552908153000	885	872	40.567	38.97	0.96	58.3	25.2	35.2	369	652
355	1784131553186972000	889	872	40.108	38.087	0.949	26.9	11.8	16.4	649	769
356	1784131553468213000	884	872	40.039	38.809	0.969	62.4	28.0	38.7	332	627
357	1784131553751193000	889	872	39.48	37.625	0.953	12.4	5.0	7.1	778	828
358	1784131554050963000	884	873	39.206	38.732	0.987	76.9	42.3	54.6	204	503
359	1784131554361790000	882	872	39.168	36.663	0.936	0.0	0.0	0.0	882	872
360	1784131554639799000	882	872	38.712	37.857	0.977	73.5	39.3	51.2	233	529
361	1784131554920491000	883	872	38.544	36.341	0.942	0.0	0.0	0.0	883	872
362	1784131555209796000	889	873	37.989	37.385	0.984	25.3	13.6	17.7	664	754
363	1784131555525982000	883	872	38.087	36.341	0.954	0.0	0.0	0.0	883	872
364	1784131555820160000	887	871	37.645	36.519	0.97	47.4	26.9	34.4	466	636
365	1784131556123527000	889	872	37.184	35.73	0.96	0.0	0.0	0.0	889	872
366	1784131556431246000	889	873	37.177	36.237	0.974	40.0	24.0	30.0	533	663
367	1784131556702984000	886	872	36.887	35.981	0.975	3.0	0.9	1.4	859	864
368	1784131557004672000	886	872	36.608	35.604	0.972	55.9	26.6	36.0	390	640
369	1784131557274678000	889	872	36.485	35.435	0.971	47.5	18.6	26.8	466	709
370	1784131557574194000	889	873	35.988	35.209	0.978	17.8	9.5	12.4	730	790
371	1784131557844161000	888	872	35.821	35.095	0.979	66.3	31.7	42.9	299	595
372	1784131558144575000	889	872	35.772	35.059	0.98	11.0	6.8	8.4	791	812
373	1784131558432579000	889	872	35.357	34.802	0.984	64.7	26.9	38.0	313	637
374	1784131558723776000	889	872	35.329	34.78	0.984	8.0	7.5	7.8	817	806
375	1784131559006696000	889	872	35.052	34.686	0.989	28.5	13.6	18.4	635	753
376	1784131559286949000	889	872	34.816	34.339	0.986	14.5	11.2	12.6	760	774
377	1784131559600661000	889	872	34.506	34.295	0.993	57.4	22.5	32.4	378	675
378	1784131559884772000	889	872	34.643	34.339	0.991	17.0	12.5	14.4	737	763
379	1784131560187636000	889	872	34.332	34.368	1.001	18.4	12.3	14.8	725	764
380	1784131560466954000	889	872	34.147	34.324	1.005	34.1	14.3	20.2	585	747
381	1784131560745247000	889	872	34.002	34.156	1.004	18.3	14.7	16.3	726	743
382	1784131561027981000	889	872	33.699	34.333	1.018	27.8	12.1	16.9	641	766
383	1784131561308695000	889	872	33.907	34.499	1.017	16.9	13.4	14.9	738	755
384	1784131561594903000	889	872	32.957	33.803	1.025	28.2	8.7	13.3	638	796
385	1784131561882944000	889	872	33.199	34.12	1.027	11.4	10.3	10.8	787	782
386	1784131562158466000	889	872	32.713	33.87	1.035	11.0	7.7	9.1	791	804
387	1784131562453845000	889	872	33.199	34.105	1.027	12.8	9.8	11.1	775	786
388	1784131562765999000	889	872	32.69	33.707	1.031	24.9	14.3	18.2	667	747
389	1784131563056346000	889	872	32.713	34.208	1.045	38.2	13.7	20.2	549	752
390	1784131563375542000	889	872	32.228	33.729	1.046	1.5	1.1	1.3	875	862
391	1784131563664406000	889	872	32.552	34.462	1.058	33.7	10.0	15.5	589	784
392	1784131563960844000	885	872	32.112	33.524	1.043	27.9	12.1	16.9	638	766
393	1784131564236483000	889	872	32.259	34.142	1.058	43.3	18.5	26.0	504	710
394	1784131564521809000	889	872	31.932	33.899	1.061	23.6	11.8	15.7	679	769
395	1784131564815518000	889	872	32.096	33.416	1.041	38.9	18.2	24.8	543	713
396	1784131565104948000	889	872	32.267	34.273	1.062	17.6	11.4	13.9	732	772
397	1784131565373734000	884	872	31.673	32.637	1.03	67.9	34.8	46.0	283	568
398	1784131565657930000	889	872	32.406	34.251	1.056	21.7	12.8	16.1	696	760
399	1784131565992849000	889	872	31.751	32.927	1.037	67.6	31.8	43.3	288	594
400	1784131566350158000	887	872	31.696	34.302	1.082	6.4	4.4	5.2	830	833
401	1784131566633342000	887	872	31.736	34.339	1.082	27.6	13.3	17.9	642	756
402	1784131566917696000	889	872	31.57	34.324	1.087	20.9	8.1	11.7	703	801
403	1784131567198786000	883	872	31.283	32.383	1.035	27.6	13.7	18.3	639	752
404	1784131567485038000	889	872	31.594	34.273	1.084	23.2	8.7	12.6	682	796
405	1784131567788901000	889	872	31.443	32.112	1.021	75.3	35.4	48.2	219	563
406	1784131568063037000	889	872	31.522	34.288	1.087	15.8	7.6	10.3	748	805
407	1784131568336391000	889	872	31.419	32.499	1.034	66.5	36.8	47.4	297	551
408	1784131568631116000	889	872	31.506	34.65	1.099	1.0	0.4	0.6	880	868
409	1784131568950538000	889	872	31.562	32.782	1.038	48.7	21.9	30.2	456	681
410	1784131569206968000	889	872	31.846	34.852	1.094	0.3	0.2	0.2	886	870
411	1784131569562507000	882	872	32.112	32.942	1.025	77.8	43.6	55.9	195	491
412	1784131569821498000	889	872	32.041	34.945	1.09	5.6	9.4	7.0	839	790
413	1784131570117083000	889	872	32.414	33.84	1.044	57.3	34.1	42.8	379	574
414	1784131570394885000	889	872	32.621	35.145	1.077	25.8	29.1	27.4	659	618
415	1784131570670931000	889	872	32.881	33.951	1.032	55.7	41.3	47.5	393	511
416	1784131570928204000	889	872	33.01	35.18	1.065	48.4	40.9	44.3	458	515
417	1784131571221844000	889	872	33.296	34.361	1.031	63.4	48.1	54.7	325	452
418	1784131571498074000	889	872	33.259	34.65	1.041	76.6	57.3	65.5	208	372
419	1784131571763977000	889	872	33.543	34.78	1.036	55.0	47.3	50.8	400	459
420	1784131572061511000	886	872	33.409	35.016	1.048	55.9	35.7	43.6	390	560
421	1784131572341569000	889	872	33.662	34.715	1.031	52.9	32.7	40.5	418	586
422	1784131572612391000	886	871	33.685	35.273	1.047	10.9	4.2	6.1	789	834
423	1784131572912511000	889	871	33.833	35.265	1.042	1.4	1.9	1.6	876	854
424	1784131573182546000	889	871	34.149	35.145	1.029	50.5	29.1	36.9	440	617
425	1784131573466012000	889	871	34.346	35.618	1.037	0.1	0.1	0.1	888	870
426	1784131573747287000	889	871	34.636	35.421	1.022	53.7	27.6	36.5	411	630
427	1784131574027643000	889	872	34.924	35.967	1.029	3.1	0.8	1.2	861	865
428	1784131574306453000	883	872	35.088	35.421	1.009	47.2	22.3	30.3	466	677
429	1784131574591987000	881	873	35.59	36.279	1.019	13.1	3.4	5.4	765	843
430	1784131574871894000	887	872	35.618	35.967	1.009	37.3	19.0	25.2	556	706
431	1784131575148873000	886	873	35.933	36.437	1.014	30.0	18.5	22.9	620	711
432	1784131575424040000	889	873	36.251	36.437	1.005	3.1	1.6	2.1	861	859
433	1784131575728456000	889	872	36.085	36.772	1.019	3.5	2.0	2.6	857	854
434	1784131575998973000	887	872	36.265	36.437	1.004	11.8	13.0	12.4	782	758
435	1784131576304984000	889	872	36.676	37.432	1.02	32.8	17.2	22.5	597	722
436	1784131576653528000	889	872	36.873	37.258	1.01	68.3	59.1	63.4	281	356
437	1784131577001584000	889	870	37.177	37.632	1.012	81.3	66.7	73.3	166	289
438	1784131577321856000	889	870	37.352	37.857	1.013	79.6	72.8	76.1	181	236
439	1784131577599174000	889	870	38.12	38.055	0.998	11.6	12.4	12.0	785	762
440	1784131577915712000	889	869	37.89	38.499	1.016	67.6	66.7	67.1	288	289
441	1784131578214799000	889	870	38.028	38.499	1.012	74.3	68.8	71.4	228	271
442	1784131578492418000	889	871	38.388	39.066	1.017	69.1	52.9	59.9	274	410
443	1784131578779841000	889	872	39.04	39.467	1.01	71.0	63.0	66.8	257	322
444	1784131579145776000	889	872	39.2	39.751	1.014	72.1	65.0	68.3	248	305
445	1784131579506877000	889	872	39.404	39.682	1.007	66.3	55.6	60.5	299	387
446	1784131579804955000	889	872	39.549	40.201	1.016	65.8	51.6	57.8	304	422
447	1784131580101208000	889	872	39.883	40.387	1.012	66.2	51.7	58.0	300	421
448	1784131580416173000	889	872	40.133	41.002	1.021	67.1	45.4	54.1	292	476
449	1784131580694049000	889	872	40.523	41.069	1.013	72.4	47.4	57.3	245	458
450	1784131580980867000	889	872	40.095	41.36	1.031	40.7	26.4	32.0	527	641
451	1784131581266602000	889	871	40.585	41.847	1.031	48.7	30.1	37.2	456	608
452	1784131581553673000	889	871	40.567	42.162	1.039	31.6	16.7	21.9	608	725
453	1784131581861460000	889	870	40.904	42.328	1.034	56.3	33.3	41.8	388	580
454	1784131582153796000	889	870	40.904	42.469	1.038	41.9	23.6	30.2	516	664
455	1784131582464066000	889	870	41.026	42.552	1.037	51.5	32.0	39.5	431	591
456	1784131582726867000	889	869	41.051	42.687	1.039	37.9	21.2	27.2	552	684
457	1784131583086662000	889	871	41.426	42.704	1.03	52.5	33.7	41.0	422	577
458	1784131583384683000	889	871	41.601	42.663	1.025	58.9	39.8	47.5	365	524
459	1784131583672704000	889	872	42.346	42.728	1.009	70.3	52.1	59.9	264	417
460	1784131583995852000	889	872	42.675	42.78	1.002	75.4	55.8	64.1	218	385
461	1784131584292695000	889	872	42.821	42.833	1.0	70.9	52.1	60.1	258	417
462	1784131584654794000	889	872	42.704	42.978	1.006	84.1	64.7	73.2	141	307
463	1784131584923159000	889	872	43.112	42.961	0.996	72.4	56.3	63.3	245	381
464	1784131585195735000	887	872	43.326	42.909	0.99	74.5	55.6	63.6	226	387
465	1784131585471643000	889	872	43.717	43.21	0.988	71.9	50.3	59.2	249	433
466	1784131585825256000	885	872	43.717	42.856	0.98	70.7	48.8	57.7	259	446
467	1784131586122237000	883	872	43.859	43.054	0.981	62.0	40.4	49.0	335	519
468	1784131586408866000	887	872	44.341	42.728	0.963	19.7	6.8	10.2	712	812
469	1784131586707625000	884	871	44.24	43.384	0.98	72.6	35.5	47.7	242	561
470	1784131586975523000	884	871	44.504	42.346	0.951	1.6	2.7	2.1	869	847
471	1784131587284696000	885	872	44.426	43.939	0.989	76.1	36.1	49.0	211	557
472	1784131587605804000	883	872	44.228	42.286	0.956	17.6	3.8	6.3	727	838
473	1784131587914708000	889	872	44.673	44.109	0.987	80.6	41.0	54.4	172	514
474	1784131588271939000	884	872	44.773	42.44	0.947	27.9	8.6	13.1	637	797
475	1784131588567365000	889	873	44.527	43.286	0.972	66.3	29.3	40.6	299	617
476	1784131588845551000	884	873	44.633	41.859	0.937	28.8	4.2	7.3	629	836
477	1784131589137112000	886	874	44.03	43.945	0.998	33.8	16.7	22.3	586	728
478	1784131589492979000	885	872	43.979	42.587	0.968	33.5	16.2	21.9	588	730
479	1784131589778765000	883	871	44.251	43.326	0.979	60.1	31.1	41.0	352	600
480	1784131590074673000	888	870	43.51	41.619	0.956	30.4	7.3	11.8	618	806
481	1784131590368410000	887	870	43.739	42.874	0.98	44.6	20.4	28.0	491	692
482	1784131590662703000	889	871	43.441	41.105	0.946	27.5	5.6	9.3	644	822
483	1784131591024514000	887	870	43.505	41.583	0.955	45.9	24.9	32.3	479	653
484	1784131591318813000	888	870	43.372	41.444	0.955	43.9	20.4	27.9	498	692
485	1784131591612335000	884	870	43.499	41.124	0.945	49.2	17.5	25.9	449	717
486	1784131591902666000	889	871	42.92	40.849	0.951	37.2	15.7	22.1	558	734
487	1784131592198955000	889	872	43.338	41.026	0.946	48.9	18.2	26.5	454	713
488	1784131592524812000	889	872	42.687	40.769	0.955	26.9	12.0	16.6	649	767
489	1784131592814800000	889	872	42.681	41.002	0.96	39.3	16.3	23.1	539	729
490	1784131593085964000	889	872	42.292	40.127	0.948	16.9	6.3	9.1	738	817
491	1784131593363393000	889	872	42.239	41.263	0.976	60.1	27.2	37.5	354	634
492	1784131593670213000	889	872	41.721	39.663	0.95	14.0	5.2	7.6	764	826
493	1784131593947316000	889	872	42.422	40.745	0.96	67.8	30.5	42.0	286	606
494	1784131594245267000	889	872	42.381	39.206	0.925	2.3	0.8	1.1	868	865
495	1784131594563939000	889	871	42.334	40.089	0.946	24.9	13.8	17.8	667	750
496	1784131594844817000	889	871	42.375	38.822	0.916	0.0	0.0	0.0	889	871
497	1784131595138030000	889	870	41.906	41.178	0.982	76.0	40.9	53.2	213	514
498	1784131595435445000	887	870	41.93	38.531	0.918	0.0	0.0	0.0	887	870
499	1784131595762782000	886	871	41.631	40.628	0.975	56.5	28.3	37.7	385	624
500	1784131596048882000	887	871	41.541	38.349	0.923	0.0	0.0	0.0	887	871
501	1784131596328075000	889	872	41.233	39.883	0.967	48.8	24.3	32.4	455	660
502	1784131596629356000	888	872	41.306	38.29	0.927	0.0	0.0	0.0	888	872
503	1784131596912055000	889	872	40.794	39.13	0.959	40.8	18.2	25.2	526	713
504	1784131597236483000	886	872	40.653	38.583	0.949	45.9	10.2	16.7	479	783
505	1784131597545616000	889	872	39.921	38.641	0.967	6.1	1.7	2.6	834	857
506	1784131597840585000	882	872	39.895	38.434	0.963	28.5	8.0	12.5	630	802
507	1784131598171219000	884	872	39.442	38.356	0.972	16.1	6.7	9.5	741	813
508	1784131598490714000	881	872	39.537	37.837	0.957	31.5	8.8	13.7	603	795
509	1784131598825173000	887	872	38.828	37.479	0.965	20.4	10.2	13.6	706	783
510	1784131599137079000	882	872	38.906	37.499	0.963	47.7	14.7	22.5	461	743
511	1784131599407915000	882	872	38.423	37.049	0.964	20.9	9.5	13.0	697	789
512	1784131599704396000	881	872	38.525	37.625	0.976	46.7	19.3	27.4	469	703
513	1784131600005299000	883	872	38.087	36.196	0.95	22.8	4.8	7.9	681	830
514	1784131600318009000	883	872	37.599	36.444	0.969	47.1	19.4	27.5	467	702
515	1784131600608727000	889	872	37.197	35.576	0.956	0.7	0.5	0.6	882	867
516	1784131600915829000	882	872	36.928	36.444	0.986	4.5	1.0	1.6	842	863
517	1784131601216192000	889	872	36.758	35.611	0.968	5.7	2.0	3.0	838	854
518	1784131601498942000	885	872	36.635	35.912	0.98	73.2	31.6	44.1	237	596
519	1784131601774217000	889	872	36.161	35.116	0.971	0.1	0.1	0.1	888	871
520	1784131602068379000	886	872	35.967	35.166	0.977	50.2	25.8	34.0	441	647
521	1784131602360908000	889	872	35.772	34.873	0.974	7.3	5.1	6.0	824	827
522	1784131602664614000	889	872	35.506	34.823	0.98	53.9	27.9	36.8	409	628
523	1784131602966502000	889	872	35.357	34.751	0.982	2.4	2.9	2.7	867	846
524	1784131603276427000	889	872	35.081	34.578	0.985	11.0	5.6	7.4	791	823
525	1784131603581811000	889	872	34.773	34.375	0.988	26.6	11.3	15.9	652	773
526	1784131603903806000	889	872	34.397	34.054	0.99	35.5	19.0	24.7	573	706
527	1784131604202796000	889	872	34.65	34.585	0.998	14.3	10.4	12.1	761	781
528	1784131604515010000	889	872	34.054	33.929	0.996	42.9	23.7	30.5	507	665
529	1784131604832818000	889	872	34.222	34.178	0.998	20.2	12.6	15.5	709	762
530	1784131605118154000	889	872	33.884	33.995	1.003	22.9	15.9	18.8	685	733
531	1784131605402953000	889	872	33.788	34.105	1.009	63.8	35.0	45.3	321	566
532	1784131605695044000	889	872	33.803	34.6	1.023	13.3	12.0	12.6	770	767
533	1784131605998290000	889	872	33.274	34.397	1.033	21.1	5.0	8.1	701	828
534	1784131606270619000	889	872	33.409	34.324	1.027	8.7	6.6	7.5	811	814
535	1784131606556147000	889	872	32.889	33.877	1.03	11.2	5.5	7.3	789	824
536	1784131606882819000	889	872	33.033	34.237	1.036	8.3	6.5	7.3	815	815
537	1784131607201791000	889	872	32.483	33.633	1.035	31.6	17.2	22.2	608	722
538	1784131607472356000	889	872	32.767	34.178	1.043	10.2	8.1	9.0	798	801
539	1784131607743927000	888	872	32.213	33.409	1.037	32.5	17.2	22.5	599	722
540	1784131608024896000	889	872	32.69	34.324	1.049	41.3	18.8	25.8	521	708
541	1784131608309884000	889	872	32.151	33.699	1.048	21.8	10.8	14.5	695	777
542	1784131608589194000	889	872	32.267	33.884	1.05	60.0	28.0	38.2	355	627
543	1784131608927808000	889	872	31.885	33.662	1.055	9.6	4.2	5.8	803	835
544	1784131609277538000	889	872	32.344	34.215	1.057	33.5	14.6	20.4	591	744
545	1784131609569658000	889	872	31.94	33.677	1.054	22.8	10.7	14.6	686	778
546	1784131609932388000	889	872	32.213	34.477	1.07	26.4	11.6	16.2	654	770
547	1784131610217042000	884	872	31.751	34.105	1.074	9.7	4.4	6.1	798	833
548	1784131610507267000	888	872	31.916	34.368	1.076	35.8	14.5	20.7	570	745
549	1784131610868884000	883	872	31.475	32.927	1.046	29.1	12.3	17.3	626	764
550	1784131611141378000	884	872	31.657	34.244	1.081	21.8	10.6	14.3	691	779
551	1784131611443802000	889	872	31.435	33.633	1.069	27.7	16.3	20.6	642	729
552	1784131611734800000	888	872	31.443	34.237	1.088	40.2	19.1	25.9	531	705
553	1784131612006766000	889	872	31.443	34.068	1.083	20.9	12.3	15.5	703	764
554	1784131612309250000	889	870	31.252	33.662	1.077	21.0	9.7	13.3	702	785
555	1784131612590604000	889	869	31.641	33.965	1.073	32.9	18.6	23.8	596	707
556	1784131612881587000	889	870	31.641	34.237	1.082	47.0	15.9	23.8	471	731
557	1784131613190349000	889	869	31.854	33.394	1.048	46.5	24.3	32.0	475	657
558	1784131613503832000	887	871	31.783	34.888	1.097	21.5	9.2	12.9	696	790
559	1784131613790250000	889	872	32.104	34.237	1.066	32.6	14.1	19.6	599	749
560	1784131614071106000	889	872	31.995	33.98	1.062	67.3	35.4	46.4	290	563
561	1784131614339582000	889	872	32.398	34.701	1.071	44.8	29.0	35.2	490	619
562	1784131614622106000	889	872	32.46	34.288	1.056	64.2	32.4	43.1	318	589
563	1784131614891010000	889	872	32.644	35.173	1.077	29.2	34.2	31.5	629	573
564	1784131615155031000	889	872	32.896	33.803	1.027	59.9	46.6	52.4	356	465
565	1784131615440536000	889	872	33.033	35.038	1.06	42.5	37.7	39.9	511	543
566	1784131615735220000	889	872	33.304	33.921	1.018	65.0	54.9	59.5	311	393
567	1784131616007870000	889	872	33.161	34.643	1.044	56.3	44.8	49.9	388	481
568	1784131616279981000	889	871	33.696	34.455	1.022	62.7	52.0	56.8	331	418
569	1784131616628126000	889	869	33.543	35.123	1.047	32.8	21.8	26.2	597	679
570	1784131616931884000	889	870	33.803	34.773	1.028	42.6	29.5	34.8	510	613
571	1784131617218637000	889	870	33.855	35.506	1.048	2.3	0.8	1.2	868	863
572	1784131617513696000	889	871	28.092	26.356	0.938	54.8	30.9	39.6	401	601
573	1784131617800798000	889	612	27.471	26.195	0.953	17.3	22.8	19.7	735	472
574	1784131618096488000	889	636	27.725	24.539	0.885	26.0	21.5	23.6	657	499
575	1784131618374351000	889	647	29.844	20.547	0.688	0.0	0.0	0.0	889	647
576	1784131618675533000	889	610	29.911	20.837	0.696	0.3	0.3	0.3	886	608
577	1784131618970184000	889	594	30.185	22.576	0.747	0.4	0.3	0.3	885	592
578	1784131619296720000	889	629	28.039	20.825	0.742	6.1	4.1	4.9	834	603
579	1784131619604487000	889	636	28.743	23.805	0.828	53.6	30.9	39.2	412	439
580	1784131619898779000	889	656	28.225	18.444	0.653	0.0	0.0	0.0	889	656
581	1784131620220147000	889	668	27.797	22.264	0.8	24.6	11.0	15.2	670	594
582	1784131620526439000	889	660	26.761	18.511	0.691	6.9	1.2	2.0	827	652
583	1784131620867926000	889	647	26.166	23.731	0.906	30.7	23.6	26.7	616	494
584	1784131621157917000	889	662	25.713	19.279	0.749	7.4	4.6	5.7	823	631
585	1784131621487385000	889	659	25.897	23.025	0.889	66.0	39.4	49.3	302	399
586	1784131621816961000	889	679	25.301	18.659	0.737	0.0	0.0	0.0	889	679
587	1784131622128549000	889	698	25.272	21.614	0.855	59.9	31.6	41.4	356	477
588	1784131622461175000	889	706	25.232	17.977	0.712	0.0	0.0	0.0	889	706
589	1784131622756720000	889	712	25.093	23.826	0.949	73.0	39.1	50.9	240	433
590	1784131623038601000	889	716	24.539	18.253	0.743	0.0	0.0	0.0	889	716
591	1784131623367954000	889	715	24.324	24.107	0.991	61.7	37.7	46.8	340	445
592	1784131623706261000	889	713	24.211	18.019	0.744	0.0	0.0	0.0	889	713
593	1784131624005954000	889	728	23.699	20.277	0.855	54.2	29.9	38.5	407	510
594	1784131624306424000	889	734	23.466	17.697	0.754	0.0	0.0	0.0	889	734
595	1784131624619604000	889	760	23.177	21.463	0.926	60.0	27.6	37.8	355	550
596	1784131624925936000	889	748	22.862	17.569	0.768	0.0	0.0	0.0	889	748
597	1784131625254838000	886	751	23.08	20.944	0.907	71.5	39.4	50.8	252	455
598	1784131625544321000	889	748	22.554	17.455	0.773	0.0	0.0	0.0	889	748
599	1784131625848084000	889	750	22.14	19.575	0.884	54.7	24.4	33.7	402	567
600	1784131626159275000	889	754	22.185	17.354	0.782	0.0	0.0	0.0	889	754
601	1784131626448016000	889	781	21.299	18.253	0.856	10.3	6.7	8.1	797	728
602	1784131626748664000	886	767	21.798	18.335	0.841	35.3	19.2	24.9	573	619
603	1784131627061251000	889	788	20.956	17.767	0.847	4.0	1.1	1.7	853	779
604	1784131627362466000	885	776	21.264	19.188	0.902	23.8	13.4	17.1	674	672
605	1784131627651430000	886	791	20.944	17.268	0.824	19.5	7.4	10.7	713	732
606	1784131627937772000	889	782	20.813	19.511	0.937	42.9	24.1	30.9	507	593
607	1784131628217616000	885	787	20.813	16.872	0.81	0.0	0.0	0.0	885	787
608	1784131628514569000	889	790	20.042	17.725	0.884	22.7	14.8	17.9	687	673
609	1784131628802854000	882	798	20.388	16.558	0.812	0.0	0.0	0.0	882	798
610	1784131629109456000	889	806	19.524	18.143	0.929	10.3	3.5	5.3	797	777
611	1784131629425684000	881	805	19.791	16.345	0.825	0.0	0.0	0.0	881	805
612	1784131629782423000	887	811	19.524	19.727	1.01	55.1	29.3	38.3	398	573
613	1784131630088922000	882	815	19.575	16.13	0.824	0.0	0.0	0.0	882	815
614	1784131630384081000	889	823	18.43	17.498	0.949	17.7	8.8	11.8	731	750
615	1784131630689002000	883	830	19.07	16.083	0.843	1.6	0.6	0.8	868	825
616	1784131630971892000	889	831	17.907	17.426	0.973	20.9	9.0	12.6	703	756
617	1784131631258586000	883	839	18.632	16.753	0.899	26.5	12.6	17.1	649	733
618	1784131631536112000	888	841	17.711	16.857	0.951	27.5	9.0	13.6	643	765
619	1784131631823547000	883	846	18.267	17.108	0.936	48.4	16.6	24.8	455	705
620	1784131632118868000	889	846	17.412	16.693	0.958	29.2	8.8	13.6	629	771
621	1784131632400869000	882	856	17.711	16.99	0.959	52.4	19.3	28.3	419	690
622	1784131632766569000	889	859	16.798	16.376	0.974	26.6	10.5	15.1	652	768
623	1784131633052290000	884	863	17.078	17.325	1.014	37.2	16.8	23.1	555	718
624	1784131633339747000	889	866	16.114	15.99	0.992	29.6	12.2	17.3	625	760
625	1784131633612288000	889	869	15.753	17.297	1.097	19.0	7.8	11.0	720	801
626	1784131633891945000	889	866	15.801	15.056	0.952	26.0	11.3	15.7	657	768
627	1784131634179261000	889	869	15.562	16.558	1.064	24.5	9.3	13.5	671	788
628	1784131634539584000	887	869	15.481	14.652	0.946	46.1	18.0	25.9	478	712
629	1784131634811823000	882	870	16.223	15.911	0.98	81.5	45.2	58.2	163	476
630	1784131635109121000	889	870	15.864	14.095	0.888	36.4	8.9	14.3	565	792
631	1784131635428840000	881	870	16.269	15.562	0.956	45.7	29.1	35.6	478	616
632	1784131635716038000	889	870	14.754	13.863	0.939	29.9	10.6	15.7	623	777
633	1784131635997643000	886	874	15.022	15.801	1.051	47.1	17.3	25.4	468	722
634	1784131636302924000	881	872	15.594	13.179	0.845	9.9	1.9	3.2	793	855
635	1784131636604192000	881	873	15.122	14.72	0.973	90.6	42.2	57.6	82	504
636	1784131636882349000	881	875	15.171	12.794	0.843	3.1	0.6	1.1	853	869
637	1784131637200012000	882	875	14.341	15.433	1.076	26.0	8.3	12.6	652	802
638	1784131637470484000	881	875	14.905	12.656	0.849	6.2	1.7	2.6	826	860
639	1784131637761192000	882	876	13.772	14.838	1.077	20.7	6.1	9.5	699	822
640	1784131638067440000	881	877	14.939	12.214	0.817	0.5	0.9	0.6	876	869
641	1784131638354105000	883	879	13.497	14.306	1.059	10.6	3.5	5.2	789	848
642	1784131638626943000	881	878	14.289	14.411	1.008	44.7	22.3	29.7	487	682
643	1784131638889723000	882	879	13.988	11.903	0.85	10.8	1.7	2.9	786	864
644	1784131639169692000	881	882	14.411	15.006	1.041	74.9	43.0	54.7	221	502
645	1784131639435972000	881	881	14.618	11.54	0.789	0.0	0.0	0.0	881	881
646	1784131639721877000	881	883	13.79	13.718	0.994	72.9	32.8	45.3	238	593
647	1784131640011245000	881	881	14.549	11.344	0.779	0.0	0.0	0.0	881	881
648	1784131640302584000	881	883	13.589	14.72	1.083	18.8	5.4	8.4	715	835
649	1784131640603520000	881	881	14.394	11.076	0.769	0.0	0.0	0.0	881	881
650	1784131640895874000	882	884	12.987	14.618	1.125	8.2	2.2	3.5	809	864
651	1784131641253471000	881	881	13.863	10.755	0.775	0.0	0.0	0.0	881	881
652	1784131641546154000	881	883	13.16	14.618	1.11	18.1	5.6	8.6	721	833
653	1784131641846335000	881	881	13.553	10.638	0.784	0.0	0.0	0.0	881	881
654	1784131642144234000	882	882	13.064	14.148	1.082	51.9	14.6	22.8	424	753
